BNB.BR	BQUE NAT. BELGIQUE
BPOST.BR
BREB.BR	BREDERODE
CAMB.BR	CAMPINE
CFEB.BR	CFE (D)
COFB.BR	COFINIMMO-SICAFI
COLR.BR	COLRUYT (D)
COMB.BR	CIE BOIS SAUVAGE
CONN.BR	CONNECT GROUP
CPINV.BR
DECB.BR	DECEUNINCK
DEXB.BR	DEXIA
DIE.BR	D'IETEREN (D)
DIEG.BR	DIEGEM KENNEDYCERT
ECONB.BR	ECONOCOM GROUP
ELI.BR	Elia System
ENGB.BR
EURN.BR	EURONAV
EVS.BR	EVS BROADC.EQUIPM.
EXM.BR	EXMAR
EZBG.BR
FAGR.BR
FLOB.BR	FLORIDIENNE
FLUX.BR	FLUXYS CAT.D
GBLB.BR	Groupe Bruxelles Lambert
GIMB.BR	GIMV
GLOG.BR	GLOBAL GRAPHICS
GRYFO.BR
HAMO.BR
HOMI.BR
IBAB.BR
IEP.BR
IMMO.BR	IMMOBEL
IMMOU.BR	IMMO MOURY (D)
INTO.BR	INTERVEST OFFICES
JEN.BR	JENSEN-GROUP
KBC.BR	KBC
KBCA.BR	KBC ANCORA
KEYW.BR	KEYWARE TECH. (D)
KIN.BR	KINEPOLIS GROUP
KOR.BR	KORTRIJK SHOP.CERT
LEAS.BR	LEASINVEST-SICAFI
LOTB.BR	LOTUS BAKERIES
MDXH.BR	MDXHEALTH
MELE.BR	MELEXIS (D)
MIKO.BR	MIKO
MONT.BR	MONTEA C.V.A.
MOUR.BR
NYR.BR	NYRSTAR (D)
OIM.BR	OIM
ONTEX.BR
OPTI.BR	OPTION (D)
PIC.BR	PICANOL
QFG.BR	QUESTFOR GR-PRICAF
QRF.BR
REA.BR
REC.BR	RECTICEL
RES.BR	RESILUX
RET.BR	RETAIL EST.-SICAFI
ROU.BR	ROULARTA
RTL.BR	RTL GROUP
SAB.BR	SABCA (D)
SAP.BR	SAPEC
SIOE.BR	SIOEN
SIP.BR	SIPEF (D)
SMAR.BR
SOF.BR	SOFINA
SOFT.BR	SOFTIMAT
SOLB.BR	SOLVAY
SOLV.BR	SOLVAC NOM(RETAIL)
SPA.BR	SPADEL
TERB.BR	TER BEKE
TESB.BR	TESSENDERLO
TEXF.BR	TEXAF
THR.BR	THROMBOGENICS
TIG.BR	TIGENIX (D)
TNET.BR	TELENET GROUP
